t,rho,stored,prefetching,threshold
24.79,0.88,440,True,0.3
24.86,0.9,450,False,0.3
24.9,0.89,445,False,0.3
24.97,0.88,440,False,0.3
25.04,0.86,430,False,0.3
25.13,0.86,430,False,0.3
25.18,0.86,430,False,0.3
25.23,0.85,425,False,0.3
25.3,0.85,425,False,0.3
25.38,0.85,425,False,0.3
25.43,0.84,420,False,0.3
25.48,0.84,420,False,0.3
25.54,0.81,405,False,0.3
25.59,0.81,405,False,0.3
25.64,0.8,400,False,0.3
25.69,0.8,400,False,0.3
25.74,0.79,395,False,0.3
25.79,0.77,385,False,0.3
25.84,0.77,385,False,0.3
25.89,0.76,380,False,0.3
25.95,0.75,375,False,0.3
26.0,0.75,375,False,0.3
26.04,0.73,365,False,0.3
26.09,0.72,360,False,0.3
26.14,0.71,355,False,0.3
26.22,0.71,355,False,0.3
26.26,0.71,355,False,0.3
26.32,0.68,340,False,0.3
26.37,0.67,335,False,0.3
26.43,0.67,335,False,0.3
26.48,0.67,335,False,0.3
26.53,0.67,335,False,0.3
26.58,0.63,315,False,0.3
26.63,0.63,315,False,0.3
26.68,0.63,315,False,0.3
26.74,0.63,315,False,0.3
26.78,0.63,315,False,0.3
26.83,0.63,315,False,0.3
26.88,0.63,315,False,0.3
26.93,0.59,295,False,0.3
26.99,0.59,295,False,0.3
27.04,0.59,295,False,0.3
27.09,0.59,295,False,0.3
27.15,0.59,295,False,0.3
27.2,0.57,285,False,0.3
27.25,0.55,275,False,0.3
27.31,0.55,275,False,0.3
27.37,0.55,275,False,0.3
27.42,0.55,275,False,0.3
27.47,0.55,275,False,0.3
27.52,0.55,275,False,0.3
27.57,0.51,255,False,0.3
27.62,0.51,255,False,0.3
27.68,0.51,255,False,0.3
27.76,0.51,255,False,0.3
27.82,0.5,250,False,0.3
27.87,0.47,235,False,0.3
27.92,0.47,235,False,0.3
27.98,0.47,235,False,0.3
28.03,0.47,235,False,0.3
28.08,0.45,225,False,0.3
28.13,0.43,215,False,0.3
28.18,0.43,215,False,0.3
28.23,0.42,210,False,0.3
28.28,0.41,205,False,0.3
28.33,0.41,205,False,0.3
28.38,0.39,195,False,0.3
28.43,0.38,190,False,0.3
28.48,0.37,185,False,0.3
28.54,0.37,185,False,0.3
28.59,0.37,185,False,0.3
28.64,0.35,175,False,0.3
28.68,0.33,165,False,0.3
28.74,0.33,165,False,0.3
28.79,0.33,165,False,0.3
28.84,0.33,165,False,0.3
28.9,0.33,165,False,0.3
28.95,0.29,145,True,0.3
29.01,0.33,165,True,0.3
29.09,0.33,165,True,0.3
29.13,0.36,180,True,0.3
29.18,0.36,180,True,0.3
29.22,0.37,185,True,0.3
29.27,0.37,185,True,0.3
29.33,0.4,200,True,0.3
29.38,0.4,200,True,0.3
29.44,0.44,220,True,0.3
29.49,0.44,220,True,0.3
29.53,0.48,240,True,0.3
29.59,0.45,225,True,0.3
29.64,0.48,240,True,0.3
29.69,0.52,260,True,0.3
29.76,0.52,260,True,0.3
29.81,0.56,280,True,0.3
29.86,0.56,280,True,0.3
29.9,0.56,280,True,0.3
29.95,0.56,280,True,0.3
30.0,0.6,300,True,0.3
30.05,0.6,300,True,0.3
30.11,0.64,320,True,0.3
30.15,0.63,315,True,0.3
30.21,0.64,320,True,0.3
30.26,0.64,320,True,0.3
30.31,0.68,340,True,0.3
30.38,0.67,335,True,0.3
30.42,0.7,350,True,0.3
30.5,0.68,340,True,0.3
30.55,0.71,355,True,0.3
30.6,0.75,375,True,0.3
30.65,0.74,370,True,0.3
30.7,0.74,370,True,0.3
30.74,0.76,380,True,0.3
30.79,0.75,375,True,0.3
30.84,0.78,390,True,0.3
30.89,0.78,390,True,0.3
30.94,0.82,410,True,0.3
30.99,0.82,410,True,0.3
31.29,0.9,450,False,0.3
31.36,0.9,450,False,0.3
31.42,0.9,450,False,0.3
31.48,0.9,450,False,0.3
31.54,0.9,450,False,0.3
31.6,0.9,450,False,0.3
31.67,0.9,450,False,0.3
31.74,0.9,450,False,0.3
31.8,0.9,450,False,0.3
31.93,0.9,450,False,0.3
32.23,0.9,450,False,0.3
32.61,0.9,450,False,0.3
32.7,0.9,450,False,0.3
32.77,0.9,450,False,0.3
32.83,0.9,450,False,0.3
32.89,0.9,450,False,0.3
32.94,0.9,450,False,0.3
32.99,0.9,450,False,0.3
33.04,0.9,450,False,0.3
33.09,0.9,450,False,0.3
33.14,0.9,450,False,0.3
33.19,0.9,450,False,0.3
33.25,0.9,450,False,0.3
33.3,0.9,450,False,0.3
33.38,0.9,450,False,0.3
33.44,0.9,450,False,0.3
33.5,0.9,450,False,0.3
33.55,0.9,450,False,0.3
33.61,0.9,450,False,0.3
33.66,0.9,450,False,0.3
33.73,0.9,450,False,0.3
33.79,0.9,450,False,0.3
33.88,0.9,450,False,0.3
33.94,0.9,450,False,0.3
33.99,0.9,450,False,0.3
34.05,0.9,450,False,0.3
34.11,0.9,450,False,0.3
34.17,0.9,450,False,0.3
34.22,0.9,450,False,0.3
34.28,0.9,450,False,0.3
34.33,0.9,450,False,0.3
34.37,0.9,450,False,0.3
34.42,0.9,450,False,0.3
34.47,0.9,450,False,0.3
34.53,0.9,450,False,0.3
34.58,0.9,450,False,0.3
34.65,0.9,450,False,0.3
34.7,0.9,450,False,0.3
34.76,0.9,450,False,0.3
34.81,0.9,450,False,0.3
34.86,0.9,450,False,0.3
34.92,0.9,450,False,0.3
34.98,0.9,450,False,0.3
35.03,0.9,450,False,0.3
35.08,0.9,450,False,0.3
35.14,0.9,450,False,0.3
35.2,0.9,450,False,0.3
35.25,0.9,450,False,0.3
35.31,0.9,450,False,0.3
35.37,0.9,450,False,0.3
35.42,0.9,450,False,0.3
35.47,0.9,450,False,0.3
35.53,0.9,450,False,0.3
35.63,0.9,450,False,0.3
35.68,0.9,450,False,0.3
35.73,0.9,450,False,0.3
35.79,0.9,450,False,0.3
35.85,0.9,450,False,0.3
35.9,0.9,450,False,0.3
35.96,0.9,450,False,0.3
36.01,0.9,450,False,0.3
36.07,0.9,450,False,0.3
36.12,0.9,450,False,0.3
36.17,0.9,450,False,0.3
36.21,0.9,450,False,0.3
36.26,0.9,450,False,0.3
36.31,0.9,450,False,0.3
36.36,0.9,450,False,0.3
36.41,0.9,450,False,0.3
36.46,0.9,450,False,0.3
36.51,0.9,450,False,0.3
36.57,0.9,450,False,0.3
36.62,0.9,450,False,0.3
36.67,0.9,450,False,0.3
36.73,0.9,450,False,0.3
36.78,0.9,450,False,0.3
36.84,0.9,450,False,0.3
36.89,0.9,450,False,0.3
36.94,0.9,450,False,0.3
